material_title,lesson_title,title,description,problem_type,question_text,expected_output,input_example
Python初級編,Lesson5,ループ回数,"何回表示されるか選びましょう。",choice,"for i in range(5):\n    print(""Hi"")\n\nA: 4回\nB: 5回\nC: 6回","B",""
Python初級編,Lesson5,条件付きループ,"結果を答えてください。",code,"for i in range(1,6):\n    if i % 2 == 0:\n        print(i)","2\n4",""
Python初級編,Lesson5,応用if,"条件を作りましょう。",essay,"5より大きいときにOKと表示するコードを書いてください。","例: if num > 5: print(""OK"")",""
Python初級編,Lesson5,応用ループ,"1〜5の合計を出すコードを書いてください。",essay,"1〜5の合計を求めるコードを書いてください。","例: total = 0 ...",""
Python初級編,Lesson6,リスト取得,"結果を答えてください。",code,"fruits = [""りんご"", ""バナナ"", ""オレンジ""]\nprint(fruits[1])","バナナ",""
Python初級編,Lesson6,append,"結果を選びましょう。",choice,"fruits = [""りんご""]\nfruits.append(""バナナ"")\nprint(fruits)\n\nA: ['りんご']\nB: ['りんご','バナナ']","B",""
Python初級編,Lesson6,insert,"結果を答えてください。",code,"fruits = [""A"", ""C""]\nfruits.insert(1,""B"")\nprint(fruits)","['A', 'B', 'C']",""
Python初級編,Lesson6,remove,"結果を選びましょう。",choice,"fruits = [""A"", ""B"", ""C""]\nfruits.remove(""B"")\nprint(fruits)\n\nA: ['A','C']\nB: ['B']","A",""
Python初級編,Lesson6,辞書取得,"結果を答えてください。",code,"d = {""a"":1}\nprint(d[""a""])","1",""
Python初級編,Lesson6,辞書追加,"結果を答えてください。",code,"d = {}\nd[""a""] = 10\nprint(d[""a""])","10",""
Python初級編,Lesson6,スライス,"結果を選びましょう。",choice,"nums = [1,2,3,4]\nprint(nums[1:3])\n\nA: [2,3]\nB: [1,2]\nC: [3,4]","A",""
Python初級編,Lesson6,応用リスト,"リストから偶数だけ取り出してください。",essay,"リストから偶数だけ表示するコードを書いてください。","例: for i in nums: ...",""
Python初級編,Lesson7,関数の基本,"結果を答えてください。",code,"def hello():\n    print(""Hi"")\nhello()","Hi",""
Python初級編,Lesson7,引数,"結果を答えてください。",code,"def add(a,b):\n    return a+b\nprint(add(2,3))","5",""
Python初級編,Lesson7,関数呼び出し,"結果を選びましょう。",choice,"def f():\n    return 10\nprint(f())\n\nA: 10\nB: None","A",""
Python初級編,Lesson7,戻り値,"結果を答えてください。",code,"def x():\n    return 3\nprint(x()+2)","5",""
Python初級編,Lesson7,文字列関数,"結果を答えてください。",code,"def greet(name):\n    return ""Hello ""+name\nprint(greet(""Taro""))","Hello Taro",""
Python初級編,Lesson7,関数設計,"2倍にする関数を書いてください。",essay,"数値を2倍にする関数を書いてください。","例: def double(x): return x*2",""
Python初級編,Lesson7,平均,"平均を返す関数を書いてください。",essay,"2つの数の平均を返す関数を書いてください。","例: (a+b)/2",""
Python初級編,Lesson7,応用,"リストの合計を返す関数を書いてください。",essay,"リストの合計を求める関数を書いてください。","例: sum(...)",""
Python初級編,Lesson8,総合1,"結果を答えてください。",code,"print(3 + 2 * 2)","7",""
Python初級編,Lesson8,総合2,"結果を選びましょう。",choice,"print((5>3) and (2<1))\n\nA: True\nB: False","B",""
Python初級編,Lesson8,総合3,"結果を答えてください。",code,"for i in range(3):\n    print(i)","0\n1\n2",""
Python初級編,Lesson8,総合4,"結果を答えてください。",code,"nums=[1,2,3]\nprint(nums[-1])","3",""
Python初級編,Lesson8,総合5,"結果を選びましょう。",choice,"d={""a"":1}\nprint(""a"" in d)\n\nA: True\nB: False","A",""
Python初級編,Lesson8,総合6,"結果を答えてください。",code,"def f(x):\n    return x*2\nprint(f(5))","10",""
Python初級編,Lesson8,総合7,"条件分岐を書いてください。",essay,"10以上ならOKと表示するコードを書いてください。","例: if x>=10",""
Python初級編,Lesson8,総合8,"ループ応用を書いてください。",essay,"1〜10の合計を求めるコードを書いてください。","例: for i in range...",""


Lesson2までは修正完了
